237476it [22:09:23,  3.00it/s]tf.Tensor(1840.584, shape=(), dtype=float32)
237477it [22:09:24,  2.99it/s]tf.Tensor(3040.6843, shape=(), dtype=float32)
237478it [22:09:24,  3.00it/s]tf.Tensor(2113.8237, shape=(), dtype=float32)
237479it [22:09:24,  2.99it/s]tf.Tensor(3436.7893, shape=(), dtype=float32)
237480it [22:09:25,  3.00it/s]tf.Tensor(2345.3818, shape=(), dtype=float32)
237481it [22:09:25,  3.00it/s]tf.Tensor(2357.4805, shape=(), dtype=float32)
237482it [22:09:25,  3.00it/s]tf.Tensor(3519.061, shape=(), dtype=float32)
237483it [22:09:26,  3.00it/s]tf.Tensor(5205.6445, shape=(), dtype=float32)
237484it [22:09:26,  3.00it/s]tf.Tensor(3057.029, shape=(), dtype=float32)
237485it [22:09:26,  3.01it/s]tf.Tensor(3418.346, shape=(), dtype=float32)
237486it [22:09:27,  3.01it/s]tf.Tensor(2787.808, shape=(), dtype=float32)
237487it [22:09:27,  3.00it/s]tf.Tensor(2671.7, shape=(), dtype=float32)
237488it [22:09:27,  3.00it/s]tf.Tensor(3026.6587, shape=(), dtype=float32)
237489it [22:09:28,  3.00it/s]tf.Tensor(2937.8193, shape=(), dtype=float32)
237490it [22:09:28,  2.99it/s]tf.Tensor(2390.3474, shape=(), dtype=float32)
237491it [22:09:28,  2.99it/s]tf.Tensor(3548.0327, shape=(), dtype=float32)
237492it [22:09:29,  2.99it/s]tf.Tensor(3817.6067, shape=(), dtype=float32)
237493it [22:09:29,  2.98it/s]tf.Tensor(4511.615, shape=(), dtype=float32)
237494it [22:09:29,  2.96it/s]tf.Tensor(1815.9462, shape=(), dtype=float32)
237495it [22:09:30,  2.98it/s]tf.Tensor(2954.249, shape=(), dtype=float32)
237496it [22:09:30,  2.99it/s]tf.Tensor(4207.825, shape=(), dtype=float32)
237497it [22:09:30,  3.00it/s]tf.Tensor(2181.346, shape=(), dtype=float32)
237498it [22:09:31,  3.00it/s]tf.Tensor(2418.7688, shape=(), dtype=float32)
237499it [22:09:31,  3.01it/s]tf.Tensor(3677.3381, shape=(), dtype=float32)
237500it [22:09:31,  3.00it/s]tf.Tensor(2601.0713, shape=(), dtype=float32)
237501it [22:09:32,  2.99it/s]tf.Tensor(3868.519, shape=(), dtype=float32)
237502it [22:09:32,  2.97it/s]tf.Tensor(2836.2273, shape=(), dtype=float32)
237503it [22:09:32,  2.97it/s]tf.Tensor(2122.0547, shape=(), dtype=float32)
237504it [22:09:33,  2.97it/s]tf.Tensor(2639.959, shape=(), dtype=float32)
237505it [22:09:33,  2.98it/s]tf.Tensor(3840.4517, shape=(), dtype=float32)
237506it [22:09:33,  2.99it/s]tf.Tensor(6411.398, shape=(), dtype=float32)
237507it [22:09:34,  3.00it/s]tf.Tensor(2862.7935, shape=(), dtype=float32)
237508it [22:09:34,  2.98it/s]tf.Tensor(3321.8086, shape=(), dtype=float32)
237509it [22:09:34,  2.98it/s]tf.Tensor(2816.6025, shape=(), dtype=float32)
237510it [22:09:35,  2.98it/s]tf.Tensor(2997.3516, shape=(), dtype=float32)
237511it [22:09:35,  2.99it/s]tf.Tensor(2810.7366, shape=(), dtype=float32)
237512it [22:09:35,  2.99it/s]tf.Tensor(3142.6997, shape=(), dtype=float32)
237513it [22:09:36,  2.98it/s]tf.Tensor(2834.1333, shape=(), dtype=float32)
237514it [22:09:36,  2.99it/s]tf.Tensor(3337.4902, shape=(), dtype=float32)
237515it [22:09:36,  2.99it/s]tf.Tensor(2728.206, shape=(), dtype=float32)
237516it [22:09:37,  2.98it/s]tf.Tensor(2872.147, shape=(), dtype=float32)
237517it [22:09:37,  2.97it/s]tf.Tensor(2921.581, shape=(), dtype=float32)
237518it [22:09:37,  2.97it/s]tf.Tensor(3801.0664, shape=(), dtype=float32)
237519it [22:09:38,  2.97it/s]tf.Tensor(3167.8164, shape=(), dtype=float32)
237520it [22:09:38,  2.97it/s]tf.Tensor(3115.8513, shape=(), dtype=float32)
237521it [22:09:38,  2.98it/s]tf.Tensor(2401.5042, shape=(), dtype=float32)
237522it [22:09:39,  2.98it/s]tf.Tensor(2163.9805, shape=(), dtype=float32)
237523it [22:09:39,  2.98it/s]tf.Tensor(3995.5688, shape=(), dtype=float32)
237524it [22:09:39,  2.96it/s]tf.Tensor(3528.2827, shape=(), dtype=float32)
237525it [22:09:40,  2.97it/s]tf.Tensor(3387.9763, shape=(), dtype=float32)
237526it [22:09:40,  2.97it/s]tf.Tensor(2134.6448, shape=(), dtype=float32)
237527it [22:09:40,  2.98it/s]tf.Tensor(3018.8608, shape=(), dtype=float32)
237528it [22:09:41,  3.02it/s]tf.Tensor(2260.291, shape=(), dtype=float32)
237529it [22:09:41,  3.01it/s]tf.Tensor(1924.6606, shape=(), dtype=float32)
237530it [22:09:41,  2.99it/s]tf.Tensor(3577.272, shape=(), dtype=float32)
237531it [22:09:42,  3.00it/s]tf.Tensor(3249.6272, shape=(), dtype=float32)
237532it [22:09:42,  3.04it/s]tf.Tensor(4071.2917, shape=(), dtype=float32)
237533it [22:09:42,  3.03it/s]tf.Tensor(3113.728, shape=(), dtype=float32)
237534it [22:09:43,  3.01it/s]tf.Tensor(3829.7983, shape=(), dtype=float32)
237535it [22:09:43,  3.00it/s]tf.Tensor(4072.872, shape=(), dtype=float32)
237536it [22:09:43,  3.00it/s]tf.Tensor(4037.5317, shape=(), dtype=float32)
237537it [22:09:44,  3.00it/s]tf.Tensor(2241.3677, shape=(), dtype=float32)
237538it [22:09:44,  3.00it/s]tf.Tensor(2642.9717, shape=(), dtype=float32)
237539it [22:09:44,  2.99it/s]tf.Tensor(3490.4941, shape=(), dtype=float32)
237540it [22:09:45,  2.99it/s]tf.Tensor(4206.847, shape=(), dtype=float32)
237541it [22:09:45,  2.98it/s]tf.Tensor(2934.6458, shape=(), dtype=float32)
237542it [22:09:45,  2.99it/s]tf.Tensor(2974.7444, shape=(), dtype=float32)
237543it [22:09:46,  2.98it/s]tf.Tensor(3122.878, shape=(), dtype=float32)
237544it [22:09:46,  2.98it/s]tf.Tensor(2302.793, shape=(), dtype=float32)
237545it [22:09:46,  2.98it/s]tf.Tensor(3130.534, shape=(), dtype=float32)
237546it [22:09:47,  2.98it/s]tf.Tensor(1830.6838, shape=(), dtype=float32)
237547it [22:09:47,  2.98it/s]tf.Tensor(1967.0518, shape=(), dtype=float32)
237548it [22:09:47,  2.99it/s]tf.Tensor(1835.7217, shape=(), dtype=float32)
237549it [22:09:48,  2.99it/s]tf.Tensor(3461.3962, shape=(), dtype=float32)
237550it [22:09:48,  2.99it/s]tf.Tensor(3238.7095, shape=(), dtype=float32)
237551it [22:09:48,  2.97it/s]tf.Tensor(1678.7599, shape=(), dtype=float32)
237552it [22:09:49,  2.98it/s]tf.Tensor(1820.0876, shape=(), dtype=float32)
237553it [22:09:49,  3.02it/s]tf.Tensor(4291.921, shape=(), dtype=float32)
237554it [22:09:49,  3.01it/s]tf.Tensor(2804.9521, shape=(), dtype=float32)
237555it [22:09:50,  3.00it/s]tf.Tensor(3375.5469, shape=(), dtype=float32)
237556it [22:09:50,  2.99it/s]tf.Tensor(3222.0317, shape=(), dtype=float32)
237557it [22:09:50,  2.98it/s]tf.Tensor(3253.8652, shape=(), dtype=float32)
237558it [22:09:51,  3.02it/s]tf.Tensor(3292.0247, shape=(), dtype=float32)
237559it [22:09:51,  3.02it/s]tf.Tensor(2059.5598, shape=(), dtype=float32)
237560it [22:09:51,  3.01it/s]tf.Tensor(2777.1086, shape=(), dtype=float32)
237561it [22:09:52,  3.00it/s]tf.Tensor(2733.9756, shape=(), dtype=float32)
237562it [22:09:52,  3.00it/s]tf.Tensor(2860.3787, shape=(), dtype=float32)
237563it [22:09:52,  2.99it/s]tf.Tensor(1574.0789, shape=(), dtype=float32)
237564it [22:09:53,  2.99it/s]tf.Tensor(2181.8374, shape=(), dtype=float32)
237565it [22:09:53,  2.99it/s]tf.Tensor(4349.737, shape=(), dtype=float32)
237566it [22:09:53,  3.00it/s]tf.Tensor(2993.3857, shape=(), dtype=float32)
237567it [22:09:54,  3.00it/s]tf.Tensor(3480.311, shape=(), dtype=float32)
237568it [22:09:54,  3.00it/s]tf.Tensor(1679.9064, shape=(), dtype=float32)
237569it [22:09:54,  3.00it/s]tf.Tensor(1403.467, shape=(), dtype=float32)
